user_id,task_id,answer_type,choice,created_time
Participant-29,test-859,trust_planning,Yes,2024-08-21 10:35:55.622
Participant-29,test-859,risk,1,2024-08-21 10:35:55.632
Participant-29,test-859,confidence_planning,confident,2024-08-21 10:35:55.637
Participant-18,test-675,trust_execution,Yes,2024-08-21 10:37:06.659
Participant-18,test-675,confidence_execution,neutral,2024-08-21 10:37:06.664
Participant-29,test-859,trust_execution,No,2024-08-21 10:37:28.975
Participant-29,test-859,confidence_execution,somewhat unconfident,2024-08-21 10:37:28.979
Participant-18,test-859,trust_planning,Yes,2024-08-21 10:37:59.458
Participant-18,test-859,risk,1,2024-08-21 10:37:59.463
Participant-18,test-859,confidence_planning,somewhat confident,2024-08-21 10:37:59.467
Participant-29,test-675,trust_planning,Yes,2024-08-21 10:39:01.346
Participant-29,test-675,risk,3,2024-08-21 10:39:01.351
Participant-29,test-675,confidence_planning,somewhat confident,2024-08-21 10:39:01.357
Participant-90,qualification_2,attention,3,2024-08-21 10:39:03.680
Participant-18,test-859,trust_execution,Yes,2024-08-21 10:39:52.072
Participant-18,test-859,confidence_execution,somewhat confident,2024-08-21 10:39:52.076
Participant-29,test-675,trust_execution,Yes,2024-08-21 10:41:01.546
Participant-29,test-675,confidence_execution,confident,2024-08-21 10:41:01.551
Participant-29,test-388,trust_planning,Yes,2024-08-21 10:41:22.946
Participant-29,test-388,risk,1,2024-08-21 10:41:22.954
Participant-29,test-388,confidence_planning,somewhat confident,2024-08-21 10:41:22.964
Participant-90,test-675,trust_planning,Yes,2024-08-21 10:41:33.944
Participant-90,test-675,risk,3,2024-08-21 10:41:33.948
Participant-90,test-675,confidence_planning,somewhat confident,2024-08-21 10:41:33.953
Participant-18,TiA_attention,attention,1,2024-08-21 10:42:10.078
Participant-29,test-388,trust_execution,Yes,2024-08-21 10:42:20.331
Participant-29,test-388,confidence_execution,confident,2024-08-21 10:42:20.336
Participant-29,test-200,trust_planning,Yes,2024-08-21 10:42:48.862
Participant-29,test-200,risk,2,2024-08-21 10:42:48.867
Participant-29,test-200,confidence_planning,confident,2024-08-21 10:42:48.871
Participant-29,test-200,trust_execution,No,2024-08-21 10:43:51.589
Participant-29,test-200,confidence_execution,confident,2024-08-21 10:43:51.593
Participant-145,onbarding-auto,trust_execution,No,2024-08-21 10:45:04.829
Participant-145,onbarding-auto,confidence_execution,confident,2024-08-21 10:45:04.835
Participant-29,TiA_attention,attention,1,2024-08-21 10:45:22.736
Participant-90,test-675,trust_execution,No,2024-08-21 10:46:06.080
Participant-90,test-675,confidence_execution,confident,2024-08-21 10:46:06.085
Participant-145,qualification_2,attention,3,2024-08-21 10:46:10.398
Participant-90,test-859,trust_planning,Yes,2024-08-21 10:47:26.375
Participant-90,test-859,risk,1,2024-08-21 10:47:26.380
Participant-90,test-859,confidence_planning,confident,2024-08-21 10:47:26.402
Participant-145,test-149,trust_planning,Yes,2024-08-21 10:48:04.078
Participant-145,test-149,risk,1,2024-08-21 10:48:04.082
Participant-145,test-149,confidence_planning,confident,2024-08-21 10:48:04.086
Participant-145,test-149,trust_execution,Yes,2024-08-21 10:49:55.351
Participant-145,test-149,confidence_execution,confident,2024-08-21 10:49:55.356
Participant-90,test-859,trust_execution,Yes,2024-08-21 10:50:15.602
Participant-90,test-859,confidence_execution,confident,2024-08-21 10:50:15.608
Participant-14,onbarding-auto,trust_execution,Yes,2024-08-21 10:50:42.843
Participant-14,onbarding-auto,confidence_execution,confident,2024-08-21 10:50:42.848
Participant-145,test-675,trust_planning,Yes,2024-08-21 10:50:52.600
Participant-145,test-675,risk,1,2024-08-21 10:50:52.605
Participant-145,test-675,confidence_planning,confident,2024-08-21 10:50:52.609
Participant-90,test-497,trust_planning,Yes,2024-08-21 10:51:14.063
Participant-90,test-497,risk,1,2024-08-21 10:51:14.068
Participant-90,test-497,confidence_planning,confident,2024-08-21 10:51:14.074
Participant-14,qualification_2,attention,3,2024-08-21 10:51:16.504
Participant-14,test-497,trust_planning,Yes,2024-08-21 10:52:00.291
Participant-14,test-497,risk,3,2024-08-21 10:52:00.296
Participant-14,test-497,confidence_planning,confident,2024-08-21 10:52:00.302
Participant-90,test-497,trust_execution,Yes,2024-08-21 10:52:35.027
Participant-90,test-497,confidence_execution,confident,2024-08-21 10:52:35.032
Participant-145,test-675,trust_execution,Yes,2024-08-21 10:53:23.258
Participant-145,test-675,confidence_execution,confident,2024-08-21 10:53:23.263
Participant-90,test-149,trust_planning,Yes,2024-08-21 10:53:36.149
Participant-90,test-149,risk,2,2024-08-21 10:53:36.154
Participant-90,test-149,confidence_planning,confident,2024-08-21 10:53:36.158
Participant-203,test-388,trust_execution,Yes,2024-08-21 12:27:09.660
Participant-203,test-388,confidence_execution,confident,2024-08-21 12:27:09.664
Participant-30,test-149,trust_execution,No,2024-08-21 12:27:51.623
Participant-30,test-149,confidence_execution,confident,2024-08-21 12:27:51.628
Participant-203,test-149,trust_planning,Yes,2024-08-21 12:28:26.042
Participant-203,test-149,risk,1,2024-08-21 12:28:26.047
Participant-203,test-149,confidence_planning,confident,2024-08-21 12:28:26.051
Participant-30,test-497,trust_planning,Yes,2024-08-21 12:28:32.894
Participant-30,test-497,risk,2,2024-08-21 12:28:32.898
Participant-30,test-497,confidence_planning,somewhat confident,2024-08-21 12:28:32.903
Participant-203,test-149,trust_execution,No,2024-08-21 12:29:59.445
Participant-203,test-149,confidence_execution,confident,2024-08-21 12:29:59.449
Participant-30,test-497,trust_execution,Yes,2024-08-21 12:30:19.826
Participant-30,test-497,confidence_execution,confident,2024-08-21 12:30:19.835
Participant-30,test-388,trust_planning,Yes,2024-08-21 12:31:15.982
Participant-30,test-388,risk,1,2024-08-21 12:31:15.986
Participant-30,test-388,confidence_planning,confident,2024-08-21 12:31:15.991
Participant-30,test-388,trust_execution,Yes,2024-08-21 12:32:21.226
Participant-30,test-388,confidence_execution,confident,2024-08-21 12:32:21.230
Participant-203,TiA_attention,attention,1,2024-08-21 12:32:44.422
Participant-107,onbarding-auto,trust_execution,Yes,2024-08-21 12:34:47.096
Participant-107,onbarding-auto,confidence_execution,somewhat confident,2024-08-21 12:34:47.101
Participant-30,TiA_attention,attention,1,2024-08-21 12:35:24.321
Participant-107,qualification_2,attention,3,2024-08-21 12:38:30.025
Participant-107,test-149,trust_planning,Yes,2024-08-21 12:40:04.353
Participant-107,test-149,risk,3,2024-08-21 12:40:04.364
Participant-107,test-149,confidence_planning,somewhat confident,2024-08-21 12:40:04.376
Participant-107,test-149,trust_execution,Yes,2024-08-21 12:41:14.903
Participant-107,test-149,confidence_execution,somewhat confident,2024-08-21 12:41:14.907
Participant-107,test-200,trust_planning,Yes,2024-08-21 12:42:28.768
Participant-107,test-200,risk,3,2024-08-21 12:42:28.773
Participant-107,test-200,confidence_planning,somewhat confident,2024-08-21 12:42:28.777
Participant-107,test-200,trust_execution,Yes,2024-08-21 12:43:09.788
Participant-107,test-200,confidence_execution,somewhat confident,2024-08-21 12:43:09.792
Participant-107,test-497,trust_planning,Yes,2024-08-21 12:43:32.165
Participant-107,test-497,risk,1,2024-08-21 12:43:32.184
Participant-107,test-497,confidence_planning,confident,2024-08-21 12:43:32.197
Participant-107,test-497,trust_execution,Yes,2024-08-21 12:44:50.094
Participant-107,test-497,confidence_execution,confident,2024-08-21 12:44:50.101
Participant-107,test-675,trust_planning,Yes,2024-08-21 12:45:11.374
Participant-107,test-675,risk,1,2024-08-21 12:45:11.380
Participant-107,test-675,confidence_planning,confident,2024-08-21 12:45:11.385
Participant-107,test-675,trust_execution,No,2024-08-21 12:47:14.705
Participant-107,test-675,confidence_execution,somewhat unconfident,2024-08-21 12:47:14.721
Participant-107,test-388,trust_planning,Yes,2024-08-21 12:48:16.654
Participant-107,test-388,risk,3,2024-08-21 12:48:16.659
Participant-107,test-388,confidence_planning,somewhat confident,2024-08-21 12:48:16.665
Participant-107,test-388,trust_execution,Yes,2024-08-21 12:50:07.237
Participant-107,test-388,confidence_execution,confident,2024-08-21 12:50:07.243
Participant-145,test-388,trust_planning,Yes,2024-08-21 10:54:16.045
Participant-145,test-388,risk,1,2024-08-21 10:54:16.049
Participant-145,test-388,confidence_planning,confident,2024-08-21 10:54:16.054
Participant-14,test-497,trust_execution,Yes,2024-08-21 10:54:41.720
Participant-14,test-497,confidence_execution,confident,2024-08-21 10:54:41.724
Participant-14,test-675,trust_planning,Yes,2024-08-21 10:55:05.405
Participant-14,test-675,risk,3,2024-08-21 10:55:05.410
Participant-14,test-675,confidence_planning,confident,2024-08-21 10:55:05.415
Participant-90,test-149,trust_execution,No,2024-08-21 10:55:37.963
Participant-90,test-149,confidence_execution,neutral,2024-08-21 10:55:37.970
Participant-145,test-388,trust_execution,Yes,2024-08-21 10:55:52.633
Participant-145,test-388,confidence_execution,confident,2024-08-21 10:55:52.637
Participant-90,test-388,trust_planning,Yes,2024-08-21 10:56:33.170
Participant-90,test-388,risk,1,2024-08-21 10:56:33.175
Participant-90,test-388,confidence_planning,confident,2024-08-21 10:56:33.193
Participant-145,test-497,trust_planning,Yes,2024-08-21 10:56:39.070
Participant-145,test-497,risk,1,2024-08-21 10:56:39.074
Participant-145,test-497,confidence_planning,confident,2024-08-21 10:56:39.078
Participant-14,test-675,trust_execution,Yes,2024-08-21 10:56:54.751
Participant-14,test-675,confidence_execution,confident,2024-08-21 10:56:54.755
Participant-14,test-859,trust_planning,Yes,2024-08-21 10:57:21.969
Participant-14,test-859,risk,3,2024-08-21 10:57:21.974
Participant-14,test-859,confidence_planning,neutral,2024-08-21 10:57:21.979
Participant-90,test-388,trust_execution,Yes,2024-08-21 10:58:15.792
Participant-90,test-388,confidence_execution,confident,2024-08-21 10:58:15.797
Participant-145,test-497,trust_execution,Yes,2024-08-21 10:58:30.690
Participant-145,test-497,confidence_execution,confident,2024-08-21 10:58:30.696
Participant-14,test-859,trust_execution,Yes,2024-08-21 10:58:40.864
Participant-14,test-859,confidence_execution,neutral,2024-08-21 10:58:40.868
Participant-145,test-200,trust_planning,Yes,2024-08-21 10:58:53.238
Participant-145,test-200,risk,1,2024-08-21 10:58:53.249
Participant-145,test-200,confidence_planning,confident,2024-08-21 10:58:53.263
Participant-14,test-200,trust_planning,Yes,2024-08-21 10:58:59.632
Participant-14,test-200,risk,3,2024-08-21 10:58:59.648
Participant-14,test-200,confidence_planning,confident,2024-08-21 10:58:59.655
Participant-90,test-200,trust_planning,Yes,2024-08-21 10:59:19.681
Participant-90,test-200,risk,2,2024-08-21 10:59:19.685
Participant-90,test-200,confidence_planning,confident,2024-08-21 10:59:19.689
Participant-14,test-200,trust_execution,Yes,2024-08-21 11:00:26.786
Participant-14,test-200,confidence_execution,neutral,2024-08-21 11:00:26.798
Participant-14,test-388,trust_planning,Yes,2024-08-21 11:00:46.325
Participant-14,test-388,risk,3,2024-08-21 11:00:46.329
Participant-14,test-388,confidence_planning,confident,2024-08-21 11:00:46.334
Participant-90,test-200,trust_execution,Yes,2024-08-21 11:00:58.755
Participant-90,test-200,confidence_execution,confident,2024-08-21 11:00:58.760
Participant-100,onbarding-auto,trust_execution,No,2024-08-21 11:01:07.901
Participant-100,onbarding-auto,confidence_execution,unconfident,2024-08-21 11:01:07.905
Participant-145,test-200,trust_execution,Yes,2024-08-21 11:01:21.007
Participant-145,test-200,confidence_execution,confident,2024-08-21 11:01:21.012
Participant-145,test-859,trust_planning,Yes,2024-08-21 11:01:49.693
Participant-145,test-859,risk,1,2024-08-21 11:01:49.698
Participant-145,test-859,confidence_planning,confident,2024-08-21 11:01:49.703
Participant-14,test-388,trust_execution,Yes,2024-08-21 11:02:04.958
Participant-14,test-388,confidence_execution,neutral,2024-08-21 11:02:04.963
Participant-14,test-149,trust_planning,Yes,2024-08-21 11:02:27.048
Participant-14,test-149,risk,3,2024-08-21 11:02:27.053
Participant-14,test-149,confidence_planning,neutral,2024-08-21 11:02:27.057
Participant-100,qualification_2,attention,3,2024-08-21 11:03:09.846
Participant-14,test-149,trust_execution,Yes,2024-08-21 11:03:17.562
Participant-14,test-149,confidence_execution,confident,2024-08-21 11:03:17.567
Participant-145,test-859,trust_execution,No,2024-08-21 11:03:52.774
Participant-145,test-859,confidence_execution,somewhat confident,2024-08-21 11:03:52.779
Participant-90,TiA_attention,attention,1,2024-08-21 11:05:19.401
Participant-14,TiA_attention,attention,1,2024-08-21 11:05:21.488
Participant-145,TiA_attention,attention,1,2024-08-21 11:05:55.118
Participant-100,test-675,trust_planning,No,2024-08-21 11:07:52.329
Participant-100,test-675,risk,4,2024-08-21 11:07:52.334
Participant-100,test-675,confidence_planning,somewhat confident,2024-08-21 11:07:52.339
Participant-100,test-675,trust_execution,Yes,2024-08-21 11:12:05.094
Participant-100,test-675,confidence_execution,somewhat unconfident,2024-08-21 11:12:05.098
Participant-100,test-388,trust_planning,Yes,2024-08-21 11:13:51.666
Participant-100,test-388,risk,1,2024-08-21 11:13:51.670
Participant-100,test-388,confidence_planning,somewhat confident,2024-08-21 11:13:51.675
Participant-69,onbarding-auto,trust_execution,Yes,2024-08-21 11:14:13.191
Participant-69,onbarding-auto,confidence_execution,confident,2024-08-21 11:14:13.196
Participant-69,qualification_2,attention,3,2024-08-21 11:15:35.429
Participant-100,test-388,trust_execution,Yes,2024-08-21 11:16:28.425
Participant-100,test-388,confidence_execution,confident,2024-08-21 11:16:28.430
Participant-69,test-675,trust_planning,Yes,2024-08-21 11:16:56.309
Participant-69,test-675,risk,2,2024-08-21 11:16:56.314
Participant-107,test-859,trust_planning,Yes,2024-08-21 12:50:58.391
Participant-69,test-675,confidence_planning,somewhat confident,2024-08-21 11:16:56.319
Participant-100,test-859,trust_planning,Yes,2024-08-21 11:19:25.434
Participant-100,test-859,risk,4,2024-08-21 11:19:25.438
Participant-100,test-859,confidence_planning,somewhat confident,2024-08-21 11:19:25.443
Participant-69,test-675,trust_execution,Yes,2024-08-21 11:19:30.397
Participant-69,test-675,confidence_execution,confident,2024-08-21 11:19:30.407
Participant-69,test-149,trust_planning,Yes,2024-08-21 11:20:17.803
Participant-69,test-149,risk,2,2024-08-21 11:20:17.808
Participant-69,test-149,confidence_planning,somewhat confident,2024-08-21 11:20:17.812
Participant-69,test-149,trust_execution,No,2024-08-21 11:21:37.132
Participant-69,test-149,confidence_execution,somewhat confident,2024-08-21 11:21:37.136
Participant-69,test-859,trust_planning,Yes,2024-08-21 11:22:15.580
Participant-69,test-859,risk,2,2024-08-21 11:22:15.584
Participant-69,test-859,confidence_planning,confident,2024-08-21 11:22:15.589
Participant-69,test-859,trust_execution,Yes,2024-08-21 11:23:26.212
Participant-69,test-859,confidence_execution,confident,2024-08-21 11:23:26.217
Participant-69,test-388,trust_planning,Yes,2024-08-21 11:23:52.112
Participant-69,test-388,risk,2,2024-08-21 11:23:52.117
Participant-69,test-388,confidence_planning,confident,2024-08-21 11:23:52.121
Participant-58,onbarding-auto,trust_execution,Yes,2024-08-21 11:23:54.249
Participant-58,onbarding-auto,confidence_execution,somewhat confident,2024-08-21 11:23:54.253
Participant-100,test-859,trust_execution,Yes,2024-08-21 11:24:05.790
Participant-100,test-859,confidence_execution,somewhat confident,2024-08-21 11:24:05.794
Participant-69,test-388,trust_execution,Yes,2024-08-21 11:24:40.639
Participant-69,test-388,confidence_execution,confident,2024-08-21 11:24:40.644
Participant-69,test-200,trust_planning,Yes,2024-08-21 11:25:40.543
Participant-69,test-200,risk,2,2024-08-21 11:25:40.548
Participant-69,test-200,confidence_planning,somewhat confident,2024-08-21 11:25:40.552
Participant-100,test-200,trust_planning,No,2024-08-21 11:27:06.600
Participant-100,test-200,risk,5,2024-08-21 11:27:06.605
Participant-100,test-200,confidence_planning,unconfident,2024-08-21 11:27:06.609
Participant-69,test-200,trust_execution,Yes,2024-08-21 11:27:10.683
Participant-69,test-200,confidence_execution,confident,2024-08-21 11:27:10.688
Participant-69,test-497,trust_planning,Yes,2024-08-21 11:27:42.917
Participant-69,test-497,risk,2,2024-08-21 11:27:42.923
Participant-69,test-497,confidence_planning,confident,2024-08-21 11:27:42.929
Participant-58,qualification_2,attention,3,2024-08-21 11:27:49.719
Participant-69,test-497,trust_execution,Yes,2024-08-21 11:28:34.101
Participant-69,test-497,confidence_execution,confident,2024-08-21 11:28:34.105
Participant-100,test-200,trust_execution,Yes,2024-08-21 11:30:05.462
Participant-100,test-200,confidence_execution,somewhat confident,2024-08-21 11:30:05.468
Participant-69,TiA_attention,attention,1,2024-08-21 11:30:09.968
Participant-58,test-859,trust_planning,No,2024-08-21 11:31:01.660
Participant-58,test-859,risk,4,2024-08-21 11:31:01.665
Participant-58,test-859,confidence_planning,somewhat confident,2024-08-21 11:31:01.670
Participant-100,test-497,trust_planning,Yes,2024-08-21 11:32:23.448
Participant-100,test-497,risk,2,2024-08-21 11:32:23.453
Participant-100,test-497,confidence_planning,somewhat confident,2024-08-21 11:32:23.458
Participant-58,test-859,trust_execution,No,2024-08-21 11:33:36.673
Participant-58,test-859,confidence_execution,somewhat confident,2024-08-21 11:33:36.678
Participant-100,test-497,trust_execution,Yes,2024-08-21 11:34:46.090
Participant-100,test-497,confidence_execution,somewhat confident,2024-08-21 11:34:46.094
Participant-58,test-675,trust_planning,No,2024-08-21 11:35:27.886
Participant-58,test-675,risk,4,2024-08-21 11:35:27.891
Participant-58,test-675,confidence_planning,neutral,2024-08-21 11:35:27.896
Participant-100,test-149,trust_planning,No,2024-08-21 11:36:08.138
Participant-100,test-149,risk,4,2024-08-21 11:36:08.143
Participant-100,test-149,confidence_planning,somewhat unconfident,2024-08-21 11:36:08.147
Participant-58,test-675,trust_execution,No,2024-08-21 11:37:22.588
Participant-58,test-675,confidence_execution,confident,2024-08-21 11:37:22.592
Participant-100,test-149,trust_execution,No,2024-08-21 11:37:48.961
Participant-100,test-149,confidence_execution,somewhat unconfident,2024-08-21 11:37:48.969
Participant-107,test-859,risk,1,2024-08-21 12:50:58.396
Participant-107,test-859,confidence_planning,confident,2024-08-21 12:50:58.401
Participant-107,test-859,trust_execution,No,2024-08-21 12:52:25.708
Participant-107,test-859,confidence_execution,somewhat unconfident,2024-08-21 12:52:25.713
Participant-107,TiA_attention,attention,1,2024-08-21 12:54:20.149
Participant-6,onbarding-auto,trust_execution,Yes,2024-08-21 13:00:00.450
Participant-6,onbarding-auto,confidence_execution,confident,2024-08-21 13:00:00.478
Participant-6,qualification_2,attention,3,2024-08-21 13:01:09.836
Participant-6,test-200,trust_planning,Yes,2024-08-21 13:03:05.310
Participant-6,test-200,risk,5,2024-08-21 13:03:05.314
Participant-6,test-200,confidence_planning,somewhat confident,2024-08-21 13:03:05.318
Participant-6,test-200,trust_execution,Yes,2024-08-21 13:04:02.981
Participant-6,test-200,confidence_execution,confident,2024-08-21 13:04:02.986
Participant-6,test-388,trust_planning,Yes,2024-08-21 13:05:08.222
Participant-6,test-388,risk,2,2024-08-21 13:05:08.226
Participant-6,test-388,confidence_planning,somewhat confident,2024-08-21 13:05:08.230
Participant-6,test-388,trust_execution,Yes,2024-08-21 13:06:07.778
Participant-6,test-388,confidence_execution,confident,2024-08-21 13:06:07.784
Participant-6,test-149,trust_planning,Yes,2024-08-21 13:06:53.942
Participant-6,test-149,risk,5,2024-08-21 13:06:53.947
Participant-6,test-149,confidence_planning,confident,2024-08-21 13:06:53.952
Participant-6,test-149,trust_execution,Yes,2024-08-21 13:07:42.472
Participant-99,test-388,trust_execution,Yes,2024-08-21 17:36:03.497
Participant-95,test-859,trust_execution,No,2024-08-21 17:36:17.928
Participant-58,test-200,trust_planning,Yes,2024-08-21 11:39:42.709
Participant-58,test-200,risk,2,2024-08-21 11:39:42.716
Participant-58,test-200,confidence_planning,neutral,2024-08-21 11:39:42.722
Participant-91,onbarding-auto,trust_execution,Yes,2024-08-21 11:41:17.165
Participant-91,onbarding-auto,confidence_execution,confident,2024-08-21 11:41:17.170
Participant-91,qualification_2,attention,3,2024-08-21 11:41:40.518
Participant-58,test-200,trust_execution,Yes,2024-08-21 11:42:01.333
Participant-58,test-200,confidence_execution,somewhat confident,2024-08-21 11:42:01.338
Participant-100,TiA_attention,attention,1,2024-08-21 11:42:19.812
Participant-91,test-388,trust_planning,Yes,2024-08-21 11:43:58.942
Participant-91,test-388,risk,1,2024-08-21 11:43:58.963
Participant-91,test-388,confidence_planning,confident,2024-08-21 11:43:58.976
Participant-91,test-388,trust_execution,Yes,2024-08-21 11:45:14.298
Participant-91,test-388,confidence_execution,confident,2024-08-21 11:45:14.305
Participant-91,test-675,trust_planning,Yes,2024-08-21 11:45:37.486
Participant-91,test-675,risk,1,2024-08-21 11:45:37.491
Participant-91,test-675,confidence_planning,confident,2024-08-21 11:45:37.498
Participant-58,test-149,trust_planning,Yes,2024-08-21 11:45:46.513
Participant-58,test-149,risk,5,2024-08-21 11:45:46.523
Participant-58,test-149,confidence_planning,somewhat unconfident,2024-08-21 11:45:46.528
Participant-58,test-149,trust_execution,No,2024-08-21 11:46:50.197
Participant-58,test-149,confidence_execution,confident,2024-08-21 11:46:50.201
Participant-91,test-675,trust_execution,No,2024-08-21 11:47:28.954
Participant-91,test-675,confidence_execution,somewhat unconfident,2024-08-21 11:47:28.959
Participant-98,onbarding-auto,trust_execution,Yes,2024-08-21 11:47:29.472
Participant-98,onbarding-auto,confidence_execution,neutral,2024-08-21 11:47:29.477
Participant-58,test-388,trust_planning,Yes,2024-08-21 11:47:37.038
Participant-58,test-388,risk,1,2024-08-21 11:47:37.055
Participant-58,test-388,confidence_planning,confident,2024-08-21 11:47:37.064
Participant-91,test-149,trust_planning,Yes,2024-08-21 11:47:41.680
Participant-91,test-149,risk,1,2024-08-21 11:47:41.684
Participant-91,test-149,confidence_planning,confident,2024-08-21 11:47:41.688
Participant-58,test-388,trust_execution,Yes,2024-08-21 11:48:23.631
Participant-58,test-388,confidence_execution,confident,2024-08-21 11:48:23.635
Participant-98,qualification_2,attention,3,2024-08-21 11:48:48.505
Participant-98,test-497,trust_planning,Yes,2024-08-21 11:49:08.410
Participant-98,test-497,risk,3,2024-08-21 11:49:08.425
Participant-98,test-497,confidence_planning,somewhat confident,2024-08-21 11:49:08.438
Participant-58,test-497,trust_planning,No,2024-08-21 11:49:41.010
Participant-58,test-497,risk,4,2024-08-21 11:49:41.015
Participant-58,test-497,confidence_planning,somewhat confident,2024-08-21 11:49:41.020
Participant-91,test-149,trust_execution,Yes,2024-08-21 11:50:32.297
Participant-91,test-149,confidence_execution,somewhat confident,2024-08-21 11:50:32.301
Participant-91,test-497,trust_planning,Yes,2024-08-21 11:50:43.501
Participant-91,test-497,risk,1,2024-08-21 11:50:43.506
Participant-91,test-497,confidence_planning,confident,2024-08-21 11:50:43.510
Participant-98,test-497,trust_execution,Yes,2024-08-21 11:50:53.992
Participant-98,test-497,confidence_execution,somewhat confident,2024-08-21 11:50:53.996
Participant-58,test-497,trust_execution,No,2024-08-21 11:51:08.773
Participant-58,test-497,confidence_execution,somewhat confident,2024-08-21 11:51:08.778
Participant-98,test-388,trust_planning,Yes,2024-08-21 11:51:14.602
Participant-98,test-388,risk,3,2024-08-21 11:51:14.607
Participant-98,test-388,confidence_planning,somewhat confident,2024-08-21 11:51:14.611
Participant-91,test-497,trust_execution,Yes,2024-08-21 11:52:03.209
Participant-91,test-497,confidence_execution,confident,2024-08-21 11:52:03.213
Participant-98,test-388,trust_execution,Yes,2024-08-21 11:52:15.528
Participant-98,test-388,confidence_execution,neutral,2024-08-21 11:52:15.533
Participant-98,test-675,trust_planning,Yes,2024-08-21 11:52:29.930
Participant-98,test-675,risk,3,2024-08-21 11:52:29.935
Participant-98,test-675,confidence_planning,somewhat confident,2024-08-21 11:52:29.940
Participant-98,test-675,trust_execution,Yes,2024-08-21 11:53:21.947
Participant-98,test-675,confidence_execution,somewhat confident,2024-08-21 11:53:21.952
Participant-58,TiA_attention,attention,1,2024-08-21 11:53:24.884
Participant-98,test-149,trust_planning,Yes,2024-08-21 11:53:33.048
Participant-98,test-149,risk,3,2024-08-21 11:53:33.053
Participant-98,test-149,confidence_planning,somewhat confident,2024-08-21 11:53:33.057
Participant-91,test-859,trust_planning,Yes,2024-08-21 11:53:46.133
Participant-91,test-859,risk,1,2024-08-21 11:53:46.138
Participant-91,test-859,confidence_planning,confident,2024-08-21 11:53:46.142
Participant-98,test-149,trust_execution,Yes,2024-08-21 11:54:04.520
Participant-98,test-149,confidence_execution,somewhat confident,2024-08-21 11:54:04.524
Participant-98,test-200,trust_planning,Yes,2024-08-21 11:54:12.447
Participant-98,test-200,risk,3,2024-08-21 11:54:12.453
Participant-98,test-200,confidence_planning,neutral,2024-08-21 11:54:12.458
Participant-98,test-200,trust_execution,Yes,2024-08-21 11:54:56.058
Participant-98,test-200,confidence_execution,neutral,2024-08-21 11:54:56.063
Participant-98,test-859,trust_planning,Yes,2024-08-21 11:55:05.820
Participant-98,test-859,risk,3,2024-08-21 11:55:05.829
Participant-98,test-859,confidence_planning,neutral,2024-08-21 11:55:05.839
Participant-10,onbarding-auto,trust_execution,Yes,2024-08-21 11:55:12.840
Participant-10,onbarding-auto,confidence_execution,somewhat confident,2024-08-21 11:55:12.845
Participant-91,test-859,trust_execution,Yes,2024-08-21 11:55:39.002
Participant-91,test-859,confidence_execution,neutral,2024-08-21 11:55:39.006
Participant-91,test-200,trust_planning,Yes,2024-08-21 11:56:01.960
